"uid","score"
1,0.85562277
2,0.62635267
9,0.5003364
12,0.91968244
14,0.46283108
20,0.7452315
25,0.8483659
28,0.7907209
30,0.765807
33,0.8909289
35,0.73041016
37,0.8610107
43,0.75716054
44,0.8660567
45,0.93790615
46,0.78468907
52,0.42519748
53,0.799412
55,0.40536845
56,0.8728386
57,0.83487314
59,0.79542005
60,0.715767
66,0.75422686
74,0.5639914
75,0.6606231
83,0.779197
84,0.706684
87,0.80329216
88,0.87234014
95,0.44482422
100,0.8352389
101,0.5956255
105,0.2531764
111,0.7863765
114,0.81322813
116,0.8196201
118,0.7183441
119,0.8628888
123,0.65200585
129,0.8352918
131,0.41551942
132,0.5471638
137,0.79643065
143,0.5873634
147,0.9129342
148,0.5700803
149,0.61910474
156,0.6965719
161,0.55476534
162,0.43853545
170,0.58556134
179,0.8782554
184,0.7511327
187,0.648238
191,0.41369724
198,0.71393305
206,0.6768616
212,0.29188156
221,0.6092508
222,0.9409831
225,0.6986898
226,0.7411686
228,0.66339505
232,0.8216224
236,0.7973322
237,0.92175764
242,0.37276638
247,0.90194154
252,0.62535566
253,0.847332
255,0.7954372
258,0.54209834
261,0.61904323
264,0.8940714
268,0.34252125
275,0.8938807
292,0.57749665
293,0.885882
295,0.8065047
305,0.76139057
325,0.7537121
328,0.93465436
330,0.73761046
334,0.8036611
335,0.74119055
350,0.8412539
351,0.33533353
354,0.80593693
357,0.7310376
360,0.8489089
361,0.83725923
365,0.3853385
368,0.6165255
369,0.76236075
370,0.82802236
374,0.6922733
375,0.6297765
377,0.8195839
389,0.70656264
390,0.6946704
399,0.6952058
401,0.8669113
402,0.6248051
403,0.90153414
404,0.45067817
405,0.71326256
415,0.7830014
416,0.44991696
417,0.5103271
425,0.85021186
430,0.95710546
436,0.721081
442,0.8582332
445,0.9187891
446,0.56978965
447,0.88577545
451,0.57032263
459,0.75251055
461,0.9155704
462,0.913178
464,0.47582525
465,0.5698058
470,0.68599904
471,0.30072743
473,0.77315295
481,0.6291287
482,0.8904897
487,0.95078623
489,0.80700946
524,0.74505126
528,0.4227478
535,0.46150362
536,0.67336655
545,0.815712
551,0.71507835
552,0.42748606
563,0.7701656
566,0.65428674
573,0.6798459
576,0.6062624
577,0.51767665
579,0.9093254
583,0.8326621
595,0.56604505
596,0.82400054
598,0.57411075
600,0.75973153
603,0.6845794
607,0.7743378
608,0.66982925
613,0.6558337
614,0.8241181
616,0.7281646
618,0.76698434
620,0.60715747
623,0.65692437
624,0.6765628
628,0.8404227
630,0.6626322
637,0.8179073
645,0.75391394
652,0.6065349
653,0.65786445
665,0.72929484
667,0.5929254
668,0.73044133
669,0.63856566
678,0.7392776
680,0.8018201
684,0.85857475
687,0.767937
695,0.7563761
699,0.8819804
702,0.74007213
704,0.88216764
705,0.4327439
707,0.7845212
711,0.84257495
716,0.41089994
722,0.61910546
732,0.86274064
741,0.7478522
745,0.74622846
747,0.6834645
748,0.7607361
750,0.82486886
753,0.62140524
756,0.72928196
765,0.83259296
769,0.9327848
775,0.46980458
777,0.62776184
781,0.8962064
791,0.7946847
792,0.71563375
794,0.7024617
800,0.68175125
802,0.5679698
811,0.8767693
812,0.8186656
813,0.8558583
816,0.6800895
818,0.22312438
822,0.6125381
829,0.68249786
830,0.8772694
833,0.7095549
838,0.56724906
839,0.48030776
841,0.8622762
842,0.8722972
843,0.6984811
849,0.62734103
855,0.8675389
856,0.71857584
860,0.8100207
871,0.8848773
874,0.5318994
876,0.8273725
879,0.7999995
881,0.2985593
890,0.75967324
898,0.71563685
901,0.83369255
904,0.6295259
913,0.7684125
914,0.8061826
915,0.509044
924,0.8706522
925,0.8781066
927,0.27565873
928,0.36107373
929,0.727826
934,0.8916939
935,0.815077
937,0.7829309
938,0.5946666
939,0.61941564
940,0.6945244
943,0.87720066
944,0.63479984
951,0.5732905
954,0.82430243
957,0.7171044
959,0.64846796
963,0.81339145
967,0.35208464
970,0.6755195
973,0.83509684
974,0.7584002
979,0.4204086
985,0.8150157
990,0.53359866
991,0.8293785
993,0.63536704
994,0.4772458
999,0.8792534
1002,0.82845867
1009,0.58202165
1014,0.74001324
1017,0.8244399
1019,0.734123
1026,0.6554083
1031,0.67675024
1032,0.76446706
1033,0.81633765
1036,0.725713
1037,0.7209347
1042,0.70420134
1043,0.88609755
1044,0.47318393
1048,0.7422004
1052,0.88290447
1053,0.74035585
1061,0.9118581
1072,0.8652301
1077,0.33234584
1081,0.714219
1082,0.6492628
1085,0.6493635
1087,0.92392063
1095,0.8758712
1096,0.6132667
1097,0.731861
1098,0.9387919
1099,0.8103607
1115,0.5097114
1117,0.4269778
1120,0.8363833
