feature,score,min,max,n_null,n_gt1w,type
x363,2115,-1.0,693.0,0,0,numeric
x778,1957,-2,21778,19,1,numeric
x767,1902,-2,302151,19,1541,numeric
x96,1724,-2.0,101.0,83,0,numeric
x148,1673,-2.0,23.45,19,0,numeric
x559,1642,-2,39033,19,122,numeric
x171,1625,-2.0,25.17,19,0,numeric
x584,1578,-2,60289,19,45,numeric
x879,1540,-2,24865,19,4,numeric
x368,1506,-2.0,41.0,92,0,numeric
x406,1501,-2,16707,19,62,numeric
x58,1494,-2.0,101.0,83,0,numeric
x944,1493,-2.0,3223696.97,285,136,numeric
x352,1479,-0.99,727.0,0,0,numeric
x114,1456,-2.0,37.19,19,0,numeric
x606,1446,-2,86221,19,96,numeric
x235,1416,-2.0,101.0,92,0,numeric
x791,1409,-2,29983,19,4,numeric
x412,1408,-2,1001,19,0,numeric
x236,1403,-2.0,101.0,131,0,numeric
x29,1395,-2.0,89.8,83,0,numeric
x82,1387,-2.0,87.59,92,0,numeric
x735,1378,-2,444,19,0,numeric
x137,1374,-2.0,101.0,83,0,numeric
x286,1373,-2,66371,19,29,numeric
x189,1370,-2.0,25.0,19,0,numeric
x760,1357,-2,12693,19,2,numeric
x592,1355,-2,131275,19,60,numeric
x76,1350,-2.0,72.85,19,0,numeric
x59,1346,-2.0,76.0,83,0,numeric
x772,1345,-2,19914,19,5,numeric
x227,1338,-2.0,26.68,19,0,numeric
x367,1327,-2.0,34.2,92,0,numeric
x407,1320,-2,735856,19,83,numeric
x138,1320,-2.0,78.19,83,0,numeric
x252,1285,-2,95054,19,31,numeric
x26,1282,-2.0,86.71,83,0,numeric
x951,1259,-2.0,14749.62,138,2,numeric
x18,1252,-2.0,41.86,92,0,numeric
x93,1241,-2.0,101.0,83,0,numeric
x607,1231,-2,53194,19,10,numeric
x654,1225,-2,29715,19,13,numeric
x689,1223,-2,3360,19,0,numeric
x554,1222,-2,313,667,0,numeric
x211,1206,-2.0,101.0,131,0,numeric
x940,1196,-2.0,342076.0,285,38,numeric
x204,1177,-2.0,73.57,92,0,numeric
x212,1172,-2.0,101.0,131,0,numeric
x769,1171,-2,120626,19,38,numeric
x95,1169,-2.0,80.68,83,0,numeric
x941,1165,-2.0,499088.41,285,67,numeric
x28,1158,-2.0,101.0,83,0,numeric
x153,1156,-2.0,42.67,19,0,numeric
x218,1156,-2.0,23.9,131,0,numeric
x161,1153,-2.0,101.0,131,0,numeric
x134,1147,-2.0,101.0,83,0,numeric
x101,1140,-2.0,101.0,130,0,numeric
x226,1133,-2.0,26.56,19,0,numeric
x462,1132,-1,165,0,0,numeric
x2,1127,-2.0,57.41,19,0,numeric
x270,1126,-2,371790,19,852,numeric
x27,1126,-2.0,101.0,83,0,numeric
x234,1124,-2.0,33.22,92,0,numeric
x433,1114,-2.0,2481.62,52,0,numeric
x690,1110,-2,27934,19,3,numeric
x471,1109,-2,356,20,0,numeric
x141,1106,-2.0,101.0,130,0,numeric
x591,1094,-2,658,19,0,numeric
x112,1090,-2.0,54.13,19,0,numeric
x364,1082,-2.0,101.0,92,0,numeric
x552,1079,-2,258,41,0,numeric
x578,1073,-2,8403,19,0,numeric
x10,1070,-2.0,79.23,19,0,numeric
x135,1070,-2.0,78.8,83,0,numeric
x175,1054,-2.0,31.19,19,0,numeric
x721,1046,-2,10830,19,2,numeric
x822,1043,-2,95327,19,329,numeric
x99,1043,-2.0,101.0,130,0,numeric
x524,1042,-2,40812,19,14,numeric
x30,1042,-2.0,101.0,130,0,numeric
x13,1041,-2.0,53.09,19,0,numeric
x6,1037,-2.0,22.77,19,0,numeric
x1,1030,-2.0,35.18,19,0,numeric
x143,1029,-2.0,101.0,130,0,numeric
x9,1025,-2.0,34.88,19,0,numeric
x293,1020,-2.0,169692.14,19,474,numeric
x768,1013,-2,69028,19,31,numeric
x79,1012,-2.0,37.03,19,0,numeric
x144,1009,-2.0,101.0,130,0,numeric
x687,1005,-2,19157,19,29,numeric
x766,996,-2,250,19,0,numeric
x219,994,-2.0,43.86,131,0,numeric
x168,989,-2.0,25.11,19,0,numeric
x21,986,-2.0,69.95,131,0,numeric
x422,984,-2,255,19,0,numeric
