feature,score
rx767,15975
rx363,14979
rx148,14818
rx368,14573
rx2,14442
rx554,13686
rx367,13031
rx6,12637
rx944,12556
rx114,12525
rx58,12521
rx352,12422
rx606,12421
rx735,12090
rx171,12088
rx951,12047
rx952,11582
rx189,11402
rx53,11331
rx191,11304
rx406,11293
rx115,11261
rx235,11252
rx29,11166
rx226,11091
rx137,11078
rx193,10933
rx26,10924
rx82,10920
rx940,10859
rx791,10764
rx407,10691
rx236,10553
rx941,10489
rx10,10401
rx364,10397
rx107,10322
rx28,10307
rx9,10306
rx584,10216
rx392,10204
rx200,10191
rx96,10153
rx38,10152
rx1,10109
rx134,10079
rx135,9950
rx172,9909
rx95,9895
rx168,9890
rx192,9830
rx212,9814
rx950,9793
rx482,9790
rx37,9789
rx92,9743
rx145,9724
rx552,9669
rx79,9668
rx8,9596
rx190,9566
rx199,9513
rx204,9493
rx43,9471
rx55,9442
rx357,9419
rx138,9410
rx180,9333
rx549,9306
rx607,9306
rx227,9293
rx428,9270
rx72,9246
rx305,9216
rx113,9183
rx234,9164
rx169,9122
rx195,9120
rx65,9098
rx433,9075
rx486,9010
rx27,8991
rx161,8954
rx101,8945
rx42,8936
rx125,8935
rx119,8917
rx412,8877
rx112,8856
rx146,8849
rx110,8816
rx59,8801
rx159,8798
rx25,8775
rx13,8740
rx175,8694
rx3,8690
rx173,8677
rx346,8671
rx398,8642
rx71,8568
rx591,8543
rx14,8532
rx153,8501
rx11,8497
rx149,8470
rx228,8460
rx879,8453
rx41,8426
rx995,8404
rx237,8397
rx592,8372
rx94,8360
rx109,8352
rx18,8323
rx362,8318
rx167,8316
rx769,8272
rx162,8192
rx942,8191
rx121,8181
rx383,8113
rx164,8056
rx99,8045
rx645,8011
rx181,8010
rx490,8000
rx205,7996
rx106,7983
rx211,7966
rx57,7945
rx365,7941
rx142,7927
rx953,7917
rx88,7852
rx356,7839
rx21,7820
rx84,7810
rx150,7784
rx126,7777
rx76,7747
rx44,7747
rx1024,7744
rx404,7727
rx178,7723
rx239,7722
rx218,7700
rx131,7672
rx434,7671
rx158,7644
rx93,7641
rx122,7606
rx19,7602
rx165,7592
rx471,7588
rx820,7555
rx163,7538
rx399,7534
rx323,7497
rx366,7475
rx208,7466
rx179,7450
rx210,7416
rx822,7398
rx359,7398
rx462,7369
rx292,7280
rx481,7248
rx293,7245
rx51,7217
rx141,7187
rx337,7185
rx16,7179
rx430,7179
rx336,7163
rx123,7153
rx778,7120
rx184,7110
rx70,7106
rx825,7092
rx361,7091
rx829,7086
rx120,7075
rx270,7072
rx223,7060
rx98,7052
rx214,7047
rx66,7023
rx151,7020
rx559,7014
rx20,7013
rx83,7004
rx81,6994
rx54,6990
rx229,6973
rx943,6973
rx75,6946
rx188,6942
rx185,6938
rx157,6927
rx422,6925
rx22,6915
rx177,6887
rx768,6886
rx689,6881
rx124,6881
rx183,6881
rx350,6879
rx68,6875
rx117,6872
rx558,6865
rx52,6852
rx219,6839
rx304,6802
rx118,6752
rx47,6700
rx206,6690
rx30,6688
rx89,6679
rx176,6668
rx213,6663
rx395,6640
rx476,6629
rx477,6625
rx132,6592
rx143,6578
rx155,6575
rx354,6558
rx74,6557
rx474,6552
rx358,6545
rx156,6543
rx67,6487
rx4,6463
rx129,6416
rx231,6411
rx298,6403
rx348,6380
rx240,6374
rx147,6356
rx656,6351
rx34,6338
rx35,6308
rx734,6268
rx24,6259
rx128,6258
rx289,6249
rx90,6248
rx483,6190
rx36,6155
rx413,6146
rx431,6143
rx87,6138
rx959,6136
rx17,6132
rx958,6131
rx246,6125
rx296,6122
rx977,6082
rx409,6070
rx31,6059
rx478,6051
rx216,6050
rx472,6003
rx288,5989
rx233,5987
rx479,5985
rx475,5978
rx999,5977
rx102,5964
rx15,5925
rx601,5920
rx217,5919
rx306,5899
rx469,5898
rx196,5890
rx209,5875
rx347,5860
rx771,5859
rx154,5851
rx979,5847
rx133,5841
rx182,5836
rx557,5825
rx286,5814
rx86,5814
rx738,5810
rx353,5801
rx329,5797
rx546,5795
rx729,5791
rx551,5758
rx46,5745
rx136,5736
rx198,5713
rx852,5670
rx50,5666
rx427,5653
rx550,5651
rx238,5649
rx160,5647
rx222,5627
rx424,5622
rx7,5615
rx207,5608
rx1018,5599
rx458,5593
rx80,5586
rx578,5579
rx856,5558
rx152,5555
rx772,5539
rx252,5537
rx230,5531
rx842,5530
rx140,5524
rx986,5474
rx127,5436
rx730,5429
rx186,5420
rx215,5391
rx299,5378
rx130,5336
rx144,5335
rx976,5263
rx961,5261
rx823,5229
rx878,5220
rx1026,5208
rx40,5206
rx484,5179
rx85,5177
rx766,5165
rx397,5150
rx105,5136
rx241,5136
rx91,5132
rx685,5129
rx960,5127
rx690,5121
rx485,5104
rx681,5057
rx846,5054
rx349,5039
rx111,5037
rx393,5029
rx996,5029
rx62,4995
rx338,4991
rx232,4978
rx297,4969
rx629,4955
rx307,4938
rx339,4913
rx698,4898
rx220,4893
rx494,4888
rx473,4886
rx1023,4859
rx432,4843
rx633,4832
rx868,4825
rx1001,4822
rx763,4803
rx63,4803
rx511,4798
rx295,4792
rx355,4791
rx555,4758
rx568,4747
rx257,4737
rx61,4725
rx654,4700
rx731,4690
rx116,4685
rx564,4660
rx946,4655
rx374,4652
rx760,4644
rx294,4643
rx400,4639
rx590,4612
rx330,4579
rx560,4567
rx56,4560
rx224,4560
rx344,4554
rx284,4535
rx435,4523
rx166,4518
rx956,4514
rx410,4502
rx548,4502
rx792,4470
rx418,4467
rx342,4467
rx49,4453
rx48,4452
rx648,4447
rx403,4431
rx764,4423
rx634,4421
rx429,4409
rx382,4400
rx499,4399
rx553,4389
rx480,4381
rx737,4377
rx873,4361
rx268,4311
rx1004,4280
rx33,4267
rx864,4242
rx360,4217
rx1010,4215
rx401,4215
rx379,4201
rx947,4190
rx104,4161
rx722,4152
rx373,4133
rx949,4131
rx752,4125
rx1077,4111
rx981,4109
rx23,4107
rx781,4103
rx1022,4093
rx274,4090
rx849,4067
rx436,4066
rx396,4064
rx460,4056
rx652,4004
rx343,3996
rx867,3994
rx202,3992
rx391,3990
rx583,3987
rx389,3986
rx858,3986
rx653,3965
rx272,3959
rx78,3946
rx716,3944
rx60,3940
rx187,3932
rx865,3931
rx914,3922
rx73,3887
rx713,3883
rx746,3868
rx978,3867
rx990,3861
rx287,3843
rx100,3840
rx514,3839
rx997,3838
rx647,3823
rx686,3810
rx1019,3809
rx1005,3802
rx524,3795
rx556,3794
rx909,3785
rx370,3781
rx77,3773
rx12,3768
rx994,3763
rx582,3748
rx992,3732
rx826,3716
rx1029,3709
rx174,3706
rx651,3685
rx1015,3679
rx408,3664
rx957,3664
rx1048,3661
rx1055,3644
rx340,3623
rx581,3620
rx39,3614
rx506,3609
rx282,3596
rx687,3596
rx721,3592
rx585,3591
rx748,3575
rx963,3567
rx64,3562
rx700,3560
rx103,3556
rx255,3551
rx563,3542
rx836,3529
rx650,3529
rx5,3521
rx805,3513
rx108,3512
rx683,3509
rx325,3507
rx609,3501
rx655,3499
rx386,3495
rx197,3488
rx97,3474
rx271,3464
rx966,3458
rx385,3457
rx225,3449
rx818,3447
rx371,3420
rx351,3387
rx139,3377
rx824,3374
rx194,3326
rx534,3321
rx45,3309
rx699,3295
rx341,3288
rx405,3262
rx804,3258
rx757,3256
rx851,3254
rx512,3246
rx533,3241
rx777,3231
rx369,3218
rx1057,3215
rx562,3186
rx520,3182
rx674,3178
rx388,3177
rx1103,3169
rx890,3168
rx525,3165
rx613,3142
rx593,3115
rx614,3114
rx259,3107
rx579,3091
rx697,3086
rx762,3086
rx1003,3063
rx326,3058
rx266,3048
rx704,3041
rx345,3040
rx733,3036
rx277,3030
rx967,3029
rx221,3027
rx517,3013
rx381,3010
rx993,3001
rx32,2977
rx1020,2966
rx968,2963
rx982,2958
rx643,2958
rx987,2954
rx387,2952
rx707,2947
rx201,2944
rx964,2932
rx945,2925
rx954,2900
rx809,2899
rx384,2879
rx1060,2877
rx843,2869
rx394,2868
rx203,2868
rx800,2861
rx470,2855
rx522,2842
rx1011,2831
rx528,2827
rx955,2825
rx657,2821
rx736,2802
rx749,2800
rx605,2796
rx626,2788
rx529,2781
rx985,2769
rx866,2763
rx254,2761
rx611,2752
rx530,2732
rx390,2728
rx988,2724
rx459,2719
rx750,2713
rx1059,2700
rx575,2699
rx283,2693
rx461,2686
rx322,2679
rx573,2671
rx372,2659
rx1083,2650
rx610,2641
rx920,2636
rx790,2626
rx676,2618
rx875,2615
rx847,2608
rx513,2602
rx574,2576
rx1049,2573
rx602,2573
rx630,2565
rx646,2565
rx684,2545
rx1078,2539
rx545,2519
rx796,2498
rx782,2494
rx170,2493
rx862,2492
rx1009,2486
rx253,2486
rx761,2473
rx1072,2471
rx509,2467
rx984,2405
rx69,2391
rx334,2385
rx1102,2380
rx1104,2372
rx256,2326
rx378,2323
rx677,2320
rx679,2315
rx624,2312
rx497,2303
rx285,2286
rx780,2271
rx1105,2240
rx827,2235
rx1074,2220
rx770,2220
rx1090,2216
rx918,2205
rx705,2195
rx682,2193
rx732,2190
rx269,2184
rx273,2178
rx678,2170
rx747,2168
rx1087,2152
rx623,2129
rx547,2126
rx576,2116
rx503,2104
rx669,2099
rx933,2097
rx1008,2088
rx832,2082
rx1021,2067
rx565,2063
rx535,2059
rx649,2045
rx765,2042
rx991,2038
rx1064,2029
rx380,2026
rx850,2017
rx327,2014
rx806,2010
rx937,2001
rx857,1997
rx974,1979
rx835,1970
rx464,1956
rx789,1948
rx328,1937
rx972,1933
rx983,1904
rx905,1896
rx421,1883
rx819,1880
rx245,1877
rx889,1861
rx863,1858
rx887,1855
rx837,1837
rx1016,1814
rx838,1807
rx377,1796
rx962,1788
rx586,1787
rx1025,1772
rx1068,1772
rx803,1767
rx935,1744
rx493,1724
rx821,1723
rx621,1715
rx531,1700
rx802,1698
rx265,1696
rx980,1670
rx402,1659
rx1012,1656
rx795,1655
rx874,1628
rx667,1628
rx709,1621
rx1062,1621
rx973,1612
rx263,1585
rx580,1580
rx594,1577
rx589,1577
rx844,1576
rx828,1566
rx267,1558
rx332,1534
rx521,1510
rx1017,1505
rx902,1479
rx881,1473
rx335,1471
rx561,1462
rx720,1457
rx631,1450
rx577,1438
rx908,1433
rx793,1421
rx869,1419
rx414,1418
rx703,1407
rx924,1391
rx675,1381
rx1067,1377
rx1066,1375
rx751,1372
rx526,1370
rx807,1366
rx467,1362
rx845,1355
rx532,1353
rx745,1336
rx527,1306
rx1084,1304
rx420,1274
rx466,1268
rx242,1263
rx948,1256
rx465,1244
rx608,1243
rx915,1240
rx523,1238
rx1073,1218
rx628,1212
rx932,1206
rx888,1195
rx258,1195
rx612,1191
rx510,1181
rx756,1175
rx260,1168
rx537,1162
rx243,1161
rx376,1159
rx375,1155
rx693,1151
rx595,1151
rx794,1138
rx244,1132
rx1106,1132
rx882,1123
rx680,1114
rx783,1090
rx627,1081
rx779,1069
rx251,1043
rx1071,1043
rx717,1042
rx998,1029
rx928,1016
rx715,1014
rx672,1014
rx1007,1001
rx880,994
rx673,980
rx971,979
rx419,975
rx1085,972
rx1075,969
rx570,962
rx930,961
rx1028,945
rx279,940
rx841,924
rx1000,917
rx1076,910
rx1013,908
rx625,899
rx1053,898
rx569,897
rx706,893
rx848,892
rx519,882
rx969,868
rx671,861
rx921,860
rx567,846
rx1089,845
rx839,842
rx708,837
rx1006,837
rx324,836
rx425,836
rx1101,818
rx892,817
rx1056,794
rx572,782
rx1058,782
rx742,772
rx249,769
rx1061,754
rx1082,749
rx1080,748
rx544,737
rx442,716
rx759,714
rx1002,712
rx816,711
rx618,708
rx926,708
rx622,707
rx910,704
rx694,703
rx423,699
rx939,698
rx870,684
rx1092,675
rx840,668
rx290,666
rx635,665
rx250,665
rx753,652
rx1094,650
rx599,650
rx1054,645
rx502,643
rx904,643
rx600,635
rx925,634
rx891,627
rx539,624
rx1086,623
rx1070,615
rx596,607
rx632,600
rx437,599
rx571,596
rx1088,595
rx659,592
rx758,586
rx1063,586
rx1097,575
rx668,562
rx331,559
rx754,556
rx1030,552
rx712,546
rx919,542
rx810,536
rx598,533
rx934,524
rx931,520
rx1099,499
rx784,499
rx280,494
rx1091,493
rx1069,488
rx893,485
rx799,484
rx443,480
rx1065,480
rx989,476
rx701,470
rx597,467
rx670,460
rx1096,458
rx457,458
rx755,453
rx938,447
rx691,443
rx917,443
rx739,430
rx718,423
rx719,422
rx1081,412
rx536,403
rx975,398
rx801,398
rx871,397
rx1014,397
rx278,395
rx664,395
rx446,394
rx1027,393
rx639,380
rx714,379
rx276,348
rx281,343
rx1100,340
rx445,339
rx965,335
rx898,333
rx1093,332
rx896,332
rx907,325
rx264,325
rx834,319
rx247,318
rx518,314
rx927,309
rx261,300
rx262,299
rx811,299
rx817,289
rx275,285
rx916,284
rx724,281
rx508,274
rx808,270
rx740,259
rx620,253
rx492,236
rx702,235
rx776,235
rx501,230
rx970,226
rx1098,218
rx1079,215
rx833,202
rx723,199
rx872,197
rx644,193
rx543,188
rx540,185
rx498,183
rx854,177
rx688,174
rx936,170
rx903,169
rx662,168
rx906,162
rx1095,153
rx900,151
rx901,144
rx505,140
rx860,134
rx922,132
rx895,130
rx291,129
rx744,125
rx711,122
rx507,120
rx248,116
rx619,106
rx495,103
rx912,98
rx899,94
rx696,91
rx333,90
rx894,89
rx728,88
rx773,86
rx666,81
rx929,80
rx812,74
rx500,69
rx923,66
rx658,64
rx566,59
rx463,52
rx587,46
rx468,46
rx665,41
rx588,40
rx911,39
rx775,36
rx741,35
rx603,32
rx830,30
rx726,30
rx604,27
rx861,27
rx695,24
rx743,23
rx725,21
rx897,18
rx692,16
rx855,16
rx661,15
rx641,13
rx727,13
rx710,12
rx637,11
rx774,10
rx663,10
rx491,9
rx538,8
rx636,7
rx787,6
rx831,6
rx515,6
rx853,6
rx496,5
rx785,5
rx489,5
rx913,4
rx660,4
rx638,3
rx813,3
rx859,2
rx788,1
