feature,score
dx735,5375
dx554,4524
dx363,4466
dx591,4281
dx549,4260
dx367,4227
dx148,4198
dx368,4091
dx191,4084
dx58,4082
dx189,3903
dx115,3895
dx352,3885
dx404,3863
dx413,3860
dx406,3797
dx2,3790
dx26,3773
dx606,3766
dx943,3747
dx95,3668
dx944,3660
dx856,3659
dx135,3648
dx114,3628
dx96,3602
dx952,3577
dx27,3545
dx92,3545
dx383,3545
dx767,3527
dx134,3486
dx28,3470
dx878,3461
dx29,3447
dx235,3440
dx226,3440
dx820,3438
dx1,3432
dx951,3424
dx8,3409
dx25,3403
dx43,3399
dx137,3391
dx592,3381
dx10,3380
dx6,3368
dx1026,3363
dx107,3362
dx645,3355
dx9,3353
dx79,3348
dx53,3343
dx168,3343
dx199,3330
dx190,3327
dx72,3306
dx112,3294
dx131,3288
dx192,3277
dx38,3275
dx584,3274
dx289,3271
dx172,3269
dx407,3260
dx71,3256
dx236,3254
dx292,3249
dx11,3240
dx399,3222
dx171,3219
dx200,3204
dx607,3193
dx94,3191
dx305,3190
dx113,3187
dx392,3177
dx149,3177
dx227,3171
dx37,3171
dx999,3160
dx825,3156
dx364,3156
dx93,3145
dx490,3139
dx552,3117
dx161,3113
dx13,3109
dx146,3106
dx395,3091
dx59,3091
dx486,3089
dx193,3085
dx428,3082
dx162,3060
dx471,3059
dx173,3058
dx165,3048
dx42,3047
dx1001,3039
dx941,3038
dx205,3038
dx462,3033
dx366,3026
dx323,3015
dx766,3011
dx769,3006
dx183,3003
dx1018,3003
dx228,3002
dx304,2983
dx651,2982
dx84,2982
dx40,2978
dx179,2975
dx157,2965
dx74,2961
dx212,2961
dx208,2960
dx109,2960
dx138,2960
dx234,2958
dx65,2954
dx164,2953
dx19,2948
dx106,2944
dx940,2935
dx424,2930
dx44,2925
dx214,2924
dx125,2895
dx365,2892
dx21,2890
dx101,2889
dx41,2888
dx145,2884
dx180,2874
dx551,2867
dx141,2861
dx99,2857
dx3,2849
dx184,2846
dx1022,2843
dx950,2839
dx57,2834
dx55,2831
dx299,2829
dx357,2804
dx398,2797
dx22,2797
dx163,2790
dx119,2787
dx204,2787
dx412,2777
dx169,2771
dx14,2768
dx159,2766
dx150,2765
dx82,2763
dx822,2759
dx66,2754
dx126,2750
dx124,2737
dx768,2734
dx167,2733
dx47,2731
dx123,2729
dx151,2726
dx20,2723
dx177,2718
dx98,2718
dx472,2714
dx156,2714
dx210,2710
dx953,2708
dx239,2698
dx178,2689
dx213,2685
dx216,2682
dx120,2680
dx121,2678
dx76,2676
dx237,2675
dx31,2667
dx482,2665
dx110,2663
dx211,2661
dx155,2660
dx987,2653
dx322,2652
dx68,2648
dx54,2643
dx30,2643
dx81,2642
dx88,2638
dx122,2632
dx89,2630
dx181,2625
dx175,2618
dx483,2617
dx142,2616
dx153,2609
dx431,2605
dx147,2599
dx185,2597
dx223,2597
dx942,2596
dx16,2594
dx158,2591
dx329,2588
dx128,2584
dx548,2580
dx474,2578
dx583,2572
dx240,2570
dx461,2565
dx70,2565
dx995,2564
dx791,2564
dx362,2559
dx18,2556
dx129,2545
dx67,2542
dx206,2539
dx219,2537
dx176,2533
dx117,2532
dx1049,2529
dx52,2528
dx556,2527
dx1023,2526
dx330,2525
dx34,2517
dx83,2517
dx879,2516
dx90,2515
dx294,2512
dx546,2512
dx396,2507
dx433,2507
dx46,2505
dx4,2504
dx295,2503
dx132,2497
dx62,2495
dx51,2490
dx268,2484
dx118,2480
dx140,2475
dx218,2474
dx481,2466
dx473,2463
dx17,2446
dx390,2438
dx238,2436
dx229,2429
dx222,2428
dx231,2423
dx778,2423
dx75,2415
dx824,2407
dx657,2403
dx730,2401
dx270,2398
dx476,2396
dx460,2385
dx380,2385
dx427,2381
dx293,2380
dx217,2378
dx298,2377
dx24,2371
dx1004,2353
dx152,2353
dx1003,2352
dx86,2352
dx160,2351
dx430,2340
dx829,2334
dx356,2333
dx233,2329
dx133,2317
dx195,2312
dx1011,2310
dx50,2302
dx182,2299
dx325,2292
dx981,2287
dx479,2287
dx533,2281
dx1024,2279
dx558,2279
dx956,2270
dx762,2263
dx154,2251
dx209,2250
